message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.581630, y=11.117770])";"30";"turtlesim3.sim";"1727057313.411981663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.595410, y=11.117770])";"30";"turtlesim3.sim";"1727057313.396117265";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.609191, y=11.117770])";"30";"turtlesim3.sim";"1727057313.379576266";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.622971, y=11.117770])";"30";"turtlesim3.sim";"1727057313.363941767";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.636752, y=11.117770])";"30";"turtlesim3.sim";"1727057313.348006568";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.650532, y=11.117770])";"30";"turtlesim3.sim";"1727057313.335586969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.581630, y=11.117770])";"30";"turtlesim2.sim";"1727057313.328176070";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.664313, y=11.117770])";"30";"turtlesim3.sim";"1727057313.319651671";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.595410, y=11.117770])";"30";"turtlesim2.sim";"1727057313.312977471";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.581630, y=11.117770])";"30";"turtlesim1.sim";"1727057313.308244671";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.678093, y=11.117770])";"30";"turtlesim3.sim";"1727057313.302776472";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.609191, y=11.117770])";"30";"turtlesim2.sim";"1727057313.297856672";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.595410, y=11.117770])";"30";"turtlesim1.sim";"1727057313.291115173";"./src/turtle.cpp:update:260"
